IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.222.98,2053,true,SIN,Asia Pacific,Singapore,204 ms,10066 kB/s
8.219.0.162,8443,true,SIN,Asia Pacific,Singapore,195 ms,10065 kB/s
8.222.229.22,2087,true,SIN,Asia Pacific,Singapore,189 ms,10065 kB/s
8.222.202.163,8443,true,SIN,Asia Pacific,Singapore,204 ms,10064 kB/s
8.222.145.110,2087,true,SIN,Asia Pacific,Singapore,184 ms,10064 kB/s
8.222.249.190,2096,true,SIN,Asia Pacific,Singapore,204 ms,10064 kB/s
8.222.248.188,2083,true,SIN,Asia Pacific,Singapore,192 ms,10063 kB/s
8.222.215.228,2087,true,SIN,Asia Pacific,Singapore,189 ms,10062 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,203 ms,10060 kB/s
8.222.221.197,2083,true,SIN,Asia Pacific,Singapore,203 ms,10059 kB/s
8.222.212.172,2096,true,SIN,Asia Pacific,Singapore,193 ms,10058 kB/s
8.219.142.191,2053,true,SIN,Asia Pacific,Singapore,188 ms,10058 kB/s
8.219.195.47,2087,true,SIN,Asia Pacific,Singapore,196 ms,10057 kB/s
8.219.248.170,2096,true,SIN,Asia Pacific,Singapore,205 ms,10053 kB/s
8.222.145.164,2096,true,SIN,Asia Pacific,Singapore,200 ms,10052 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,207 ms,10051 kB/s
8.222.129.32,2053,true,SIN,Asia Pacific,Singapore,194 ms,10049 kB/s
8.222.237.131,8443,true,SIN,Asia Pacific,Singapore,206 ms,10047 kB/s
8.219.195.47,2096,true,SIN,Asia Pacific,Singapore,207 ms,10047 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,191 ms,10045 kB/s
8.222.212.219,2087,true,SIN,Asia Pacific,Singapore,202 ms,10043 kB/s
192.9.135.122,8443,true,SJC,North America,San Jose,163 ms,10042 kB/s
8.222.211.124,2096,true,SIN,Asia Pacific,Singapore,203 ms,10041 kB/s
8.219.114.201,8443,true,SIN,Asia Pacific,Singapore,203 ms,10041 kB/s
8.219.67.133,2053,true,SIN,Asia Pacific,Singapore,202 ms,10038 kB/s
8.222.175.78,2053,true,SIN,Asia Pacific,Singapore,191 ms,10036 kB/s
8.222.168.234,2083,true,SIN,Asia Pacific,Singapore,199 ms,10033 kB/s
8.222.214.231,2087,true,SIN,Asia Pacific,Singapore,185 ms,10021 kB/s
8.222.237.131,2083,true,SIN,Asia Pacific,Singapore,193 ms,10018 kB/s
8.222.202.163,2087,true,SIN,Asia Pacific,Singapore,204 ms,10008 kB/s
8.222.154.227,2087,true,SIN,Asia Pacific,Singapore,203 ms,10005 kB/s
8.222.202.163,2096,true,SIN,Asia Pacific,Singapore,203 ms,10000 kB/s
8.222.238.141,8443,true,SIN,Asia Pacific,Singapore,183 ms,10000 kB/s
47.245.115.6,2053,true,SIN,Asia Pacific,Singapore,204 ms,9999 kB/s
8.222.167.8,2087,true,SIN,Asia Pacific,Singapore,207 ms,9996 kB/s
8.219.104.242,2083,true,SIN,Asia Pacific,Singapore,211 ms,9994 kB/s
8.222.144.219,2053,true,SIN,Asia Pacific,Singapore,204 ms,9990 kB/s
8.222.175.78,2083,true,SIN,Asia Pacific,Singapore,192 ms,9989 kB/s
47.245.89.102,2083,true,SIN,Asia Pacific,Singapore,197 ms,9987 kB/s
8.219.167.65,8443,true,SIN,Asia Pacific,Singapore,202 ms,9984 kB/s
8.219.0.162,2053,true,SIN,Asia Pacific,Singapore,192 ms,9979 kB/s
8.222.169.182,8443,true,SIN,Asia Pacific,Singapore,202 ms,9974 kB/s
47.245.115.6,2083,true,SIN,Asia Pacific,Singapore,184 ms,9971 kB/s
8.219.173.195,2096,true,SIN,Asia Pacific,Singapore,184 ms,9970 kB/s
8.222.129.32,2096,true,SIN,Asia Pacific,Singapore,205 ms,9967 kB/s
8.222.229.22,8443,true,SIN,Asia Pacific,Singapore,190 ms,9965 kB/s
8.219.142.191,8443,true,SIN,Asia Pacific,Singapore,188 ms,9961 kB/s
8.222.175.78,2087,true,SIN,Asia Pacific,Singapore,212 ms,9948 kB/s
8.222.145.164,2083,true,SIN,Asia Pacific,Singapore,202 ms,9932 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,192 ms,9930 kB/s
8.219.248.170,2083,true,SIN,Asia Pacific,Singapore,186 ms,9930 kB/s
8.222.168.234,2087,true,SIN,Asia Pacific,Singapore,208 ms,9926 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,203 ms,9924 kB/s
8.222.138.164,8443,true,SIN,Asia Pacific,Singapore,200 ms,9918 kB/s
8.222.167.147,2083,true,SIN,Asia Pacific,Singapore,203 ms,9910 kB/s
8.222.154.50,2087,true,SIN,Asia Pacific,Singapore,191 ms,9909 kB/s
8.219.195.47,8443,true,SIN,Asia Pacific,Singapore,207 ms,9895 kB/s
8.222.211.124,2053,true,SIN,Asia Pacific,Singapore,225 ms,9893 kB/s
8.222.254.91,2053,true,SIN,Asia Pacific,Singapore,204 ms,9893 kB/s
8.222.155.242,8443,true,SIN,Asia Pacific,Singapore,191 ms,9893 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,193 ms,9890 kB/s
8.222.254.91,2083,true,SIN,Asia Pacific,Singapore,204 ms,9884 kB/s
8.219.72.50,2087,true,SIN,Asia Pacific,Singapore,192 ms,9879 kB/s
8.219.206.180,2083,true,SIN,Asia Pacific,Singapore,220 ms,9868 kB/s
8.219.0.162,2087,true,SIN,Asia Pacific,Singapore,216 ms,9866 kB/s
8.219.186.189,2096,true,SIN,Asia Pacific,Singapore,197 ms,9851 kB/s
8.222.130.137,2053,true,SIN,Asia Pacific,Singapore,196 ms,9845 kB/s
8.219.208.69,8443,true,SIN,Asia Pacific,Singapore,212 ms,9841 kB/s
8.219.208.69,2053,true,SIN,Asia Pacific,Singapore,185 ms,9838 kB/s
8.222.164.44,2053,true,SIN,Asia Pacific,Singapore,191 ms,9833 kB/s
8.222.254.91,2096,true,SIN,Asia Pacific,Singapore,193 ms,9831 kB/s
192.9.142.185,443,true,SJC,North America,San Jose,167 ms,9828 kB/s
8.222.174.108,2053,true,SIN,Asia Pacific,Singapore,204 ms,9826 kB/s
8.219.126.3,2053,true,SIN,Asia Pacific,Singapore,232 ms,9823 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,207 ms,9816 kB/s
8.222.159.252,2053,true,SIN,Asia Pacific,Singapore,191 ms,9811 kB/s
8.222.212.219,2053,true,SIN,Asia Pacific,Singapore,205 ms,9807 kB/s
8.219.206.180,2087,true,SIN,Asia Pacific,Singapore,191 ms,9806 kB/s
8.219.142.229,2087,true,SIN,Asia Pacific,Singapore,207 ms,9805 kB/s
8.222.211.124,8443,true,SIN,Asia Pacific,Singapore,196 ms,9805 kB/s
8.222.136.196,2083,true,SIN,Asia Pacific,Singapore,182 ms,9791 kB/s
8.219.157.97,2083,true,SIN,Asia Pacific,Singapore,189 ms,9784 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,204 ms,9783 kB/s
8.219.142.191,2096,true,SIN,Asia Pacific,Singapore,194 ms,9773 kB/s
8.222.167.147,8443,true,SIN,Asia Pacific,Singapore,204 ms,9769 kB/s
8.219.50.180,2096,true,SIN,Asia Pacific,Singapore,204 ms,9766 kB/s
8.222.187.107,2083,true,SIN,Asia Pacific,Singapore,201 ms,9759 kB/s
8.222.219.34,2083,true,SIN,Asia Pacific,Singapore,208 ms,9745 kB/s
47.245.107.174,2087,true,SIN,Asia Pacific,Singapore,197 ms,9739 kB/s
8.219.126.3,2087,true,SIN,Asia Pacific,Singapore,193 ms,9723 kB/s
8.222.145.164,8443,true,SIN,Asia Pacific,Singapore,190 ms,9720 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,225 ms,9717 kB/s
8.222.255.15,2087,true,SIN,Asia Pacific,Singapore,184 ms,9715 kB/s
8.219.50.180,2053,true,SIN,Asia Pacific,Singapore,204 ms,9710 kB/s
8.219.241.189,2096,true,SIN,Asia Pacific,Singapore,192 ms,9703 kB/s
8.219.206.180,2096,true,SIN,Asia Pacific,Singapore,223 ms,9698 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,202 ms,9695 kB/s
8.219.142.229,2053,true,SIN,Asia Pacific,Singapore,209 ms,9678 kB/s
8.222.182.10,2087,true,SIN,Asia Pacific,Singapore,189 ms,9668 kB/s
8.222.237.131,2053,true,SIN,Asia Pacific,Singapore,226 ms,9667 kB/s
8.219.142.229,8443,true,SIN,Asia Pacific,Singapore,199 ms,9640 kB/s
8.222.140.87,2083,true,SIN,Asia Pacific,Singapore,201 ms,9615 kB/s
